Nomor #,Tanggal,Keterangan,Kode Barang,Nama Barang,Kuantitas,Catatan,Stok Akhir,Nama Departemen,Nama Proyek,No. Lambung,Tipe Penyesuaian,Biaya Satuan,Total Biaya,Nama Gudang
IA.2024.10.02160,2024-10-01,"PEMAKAIAN ME021 SHIFT 1 PIT A9
HM: 17342.55",114471,PERSEDIAAN HSD/SOLAR,348,,147365,A9_P_HE_FUEL,PINANG,ME021 - SANY SY750H - BBE,Pengurangan,11036.834363,3840818.358324,BBE
IA.2024.10.02161,2024-10-01,"PEMAKAIAN ME022 SHIFT 1 PIT A9
HM: 16513",114471,PERSEDIAAN HSD/SOLAR,551,,146814,A9_P_HE_FUEL,PINANG,ME022 - SANY SY750H - BBE,Pengurangan,11036.834363,6081295.734013,BBE
IA.2024.10.02162,2024-10-01,"PEMAKAIAN ME028 SHIFT 1 PIT A9
HM: 14377.2",114471,PERSEDIAAN HSD/SOLAR,277,,146537,A9_P_HE_FUEL,PINANG,ME028 - SANY SY500H - BBE,Pengurangan,11036.834363,3057203.118551,BBE
IA.2024.10.02163,2024-10-01,"PEMAKAIAN ME031 SHIFT 1 PIT A9
HM: 16803",114471,PERSEDIAAN HSD/SOLAR,676,,145861,A9_P_HE_FUEL,PINANG,ME031 - CAT 395 - BBE,Pengurangan,11036.834363,7460900.029388,BBE
IA.2024.10.02164,2024-10-01,"PEMAKAIAN ME041 SHIFT 1 PIT A9
HM: 11934.6",114471,PERSEDIAAN HSD/SOLAR,273,,145588,A9_P_HE_FUEL,PINANG,ME041 - CAT 330GC - BBE,Pengurangan,11036.834363,3013055.781099,BBE
IA.2024.10.02165,2024-10-01,"PEMAKAIAN ME046 SHIFT 1 PIT A9
HM: 11525.5",114471,PERSEDIAAN HSD/SOLAR,301,,145287,A9_P_HE_FUEL,PINANG,ME046 - HITACHI ZX350 - BBE,Pengurangan,11036.834363,3322087.143263,BBE
IA.2024.10.02166,2024-10-01,"PEMAKAIAN ME047 SHIFT 1 PIT A9
HM: 10061",114471,PERSEDIAAN HSD/SOLAR,114,,145173,A9_P_HE_FUEL,PINANG,ME047 - HITACHI ZX870LCH-5G - BBE,Pengurangan,11036.834363,1258199.117382,BBE
IA.2024.10.02167,2024-10-01,"PEMAKAIAN ME049 SHIFT 1 PIT A9
HM: 10693",114471,PERSEDIAAN HSD/SOLAR,777,,144396,A9_P_HE_FUEL,PINANG,ME049 - CAT 374 - BBE,Pengurangan,11036.834363,8575620.300051,BBE
IA.2024.10.02168,2024-10-01,"PEMAKAIAN ME050 SHIFT 1 PIT A9
HM: 10484.6",114471,PERSEDIAAN HSD/SOLAR,649,,143747,A9_P_HE_FUEL,PINANG,ME050 - HITACHI ZX870LCH-5G - BBE,Pengurangan,11036.834363,7162905.501587,BBE
IA.2024.10.02169,2024-10-01,"PEMAKAIAN ME051 SHIFT 1 PIT A9
HM: 9060",114471,PERSEDIAAN HSD/SOLAR,140,,143607,A9_P_HE_FUEL,PINANG,ME051 - KOMATSU PC-500 - BBE,Pengurangan,11036.834363,1545156.81082,BBE
IA.2024.10.02170,2024-10-01,"PEMAKAIAN ME054 SHIFT 1 PIT A9
HM: 8815",114471,PERSEDIAAN HSD/SOLAR,520,,143087,A9_P_HE_FUEL,PINANG,ME054 - HITACHI ZX870LCH-5G - BBE,Pengurangan,11036.834363,5739153.86876,BBE
IA.2024.10.02171,2024-10-01,"PEMAKAIAN ME055 SHIFT 1 PIT A9
HM: 9264",114471,PERSEDIAAN HSD/SOLAR,503,,142584,A9_P_HE_FUEL,PINANG,ME055 - CAT 374 - BBE,Pengurangan,11036.834363,5551527.684589,BBE
IA.2024.10.02172,2024-10-01,"PEMAKAIAN ME056 SHIFT 1 PIT A9
HM: 9332",114471,PERSEDIAAN HSD/SOLAR,544,,142040,A9_P_HE_FUEL,PINANG,ME056 - CAT 374 - BBE,Pengurangan,11036.834363,6004037.893472,BBE
IA.2024.10.02173,2024-10-01,"PEMAKAIAN ME058 SHIFT 1 PIT A9
HM: 9507.7",114471,PERSEDIAAN HSD/SOLAR,286,,141754,A9_P_HE_FUEL,PINANG,ME058 - HITACHI ZX350 - BBE,Pengurangan,11036.834363,3156534.627818,BBE
IA.2024.10.02174,2024-10-01,"PEMAKAIAN ME059 SHIFT 1 PIT A9
HM: 8546.1",114471,PERSEDIAAN HSD/SOLAR,127,,141627,A9_P_HE_FUEL,PINANG,ME059 - HITACHI ZX200 - BBE,Pengurangan,11036.834363,1401677.964101,BBE
IA.2024.10.02175,2024-10-01,"PEMAKAIAN ME060 SHIFT 1 PIT A9
HM: 6617.6",114471,PERSEDIAAN HSD/SOLAR,89,,141538,A9_P_HE_FUEL,PINANG,ME060 - HITACHI ZX200 - BBE,Pengurangan,11036.834363,982278.258307,BBE
IA.2024.10.02176,2024-10-01,"PEMAKAIAN ME061 SHIFT 1 PIT A9
HM: 6860",114471,PERSEDIAAN HSD/SOLAR,1018,,140520,A9_P_HE_FUEL,PINANG,ME061 - CAT 6015B - BBE,Pengurangan,11036.834363,11235497.381534,BBE
IA.2024.10.02177,2024-10-01,"PEMAKAIAN ME062 SHIFT 1 PIT A9
HM: 6599.1",114471,PERSEDIAAN HSD/SOLAR,1047,,139473,A9_P_HE_FUEL,PINANG,ME062 - CAT 6015B - BBE,Pengurangan,11036.834363,11555565.578061,BBE
IA.2024.10.02178,2024-10-01,"PEMAKAIAN ME063 SHIFT 1 PIT A9
HM: 1709.8",114471,PERSEDIAAN HSD/SOLAR,115,,139358,A9_P_HE_FUEL,PINANG,ME063 - HYUNDAI R210W - BBE,Pengurangan,11036.834363,1269235.951745,BBE
IA.2024.10.02179,2024-10-01,"PEMAKAIAN ME065 SHIFT 1 PIT A9
HM: 1583.2",114471,PERSEDIAAN HSD/SOLAR,917,,138441,A9_P_HE_FUEL,PINANG,ME065 - KOMATSU PC1250 - BBE,Pengurangan,11036.834363,10120777.110871,BBE
IA.2024.10.02180,2024-10-01,"PEMAKAIAN ME071 SHIFT 1 PIT A9
HM: 333.9",114471,PERSEDIAAN HSD/SOLAR,237,,138204,A9_P_HE_FUEL,PINANG,ME071 - HITACHI ZX350 - BBE,Pengurangan,11036.834363,2615729.744031,BBE
IA.2024.10.02181,2024-10-01,"PEMAKAIAN OHT001 SHIFT 1 PIT A9
HM: 34483.8",114471,PERSEDIAAN HSD/SOLAR,385,,137819,A9_P_HE_FUEL,PINANG,OHT001 - CAT 773E - BBE,Pengurangan,11036.834363,4249181.229755,BBE
IA.2024.10.02182,2024-10-01,"PEMAKAIAN OHT002 SHIFT 1 PIT A9
HM: 32353.8",114471,PERSEDIAAN HSD/SOLAR,131,,137688,A9_P_HE_FUEL,PINANG,OHT002 - CAT 773E - BBE,Pengurangan,11036.834363,1445825.301553,BBE
